Country;Year;gallagher;ENEP
AUT;1989;0.93;2.72
AUT;1994;1.03;3.87
AUT;1999;3.53;3.82
AUT;2004;1.33;3.02
AUT;2009;2.92;4.79
AUT;2014;3.31;5.15
AUT;2019;1.85;4.20
BEL;1989;3.24;8.14
BEL;1994;3.49;9.81
BEL;1999;2.99;10.28
BEL;2004;5.16;8.84
BEL;2009;3.37;9.04
BEL;2014;4.60;9.62
BEL;2019;3.92;10.94
BGR;1994;7.78;3.85
BGR;1999;3.94;3.00
BGR;2004;7.82;3.91
BGR;2009;7.00;4.40
BGR;2014;2.52;5.77
BGR;2019;7.42;4.69
HRV;2004;9.60;5.93
HRV;2009;7.58;4.23
HRV;2014;12.31;4.57
HRV;2019;5.92;3.82
CYP;2004;1.59;3.76
CYP;2009;2.42;4.29
CYP;2014;1.69;3.86
CYP;2019;3.02;5.12
CZE;1994;8.57;7.31
CZE;1999;5.70;4.69
CZE;2004;5.73;4.82
CZE;2009;5.72;3.91
CZE;2014;6.12;7.61
CZE;2019;7.21;6.92
DNK;1989;2.34;5.83
DNK;1994;1.57;4.76
DNK;1999;0.42;4.73
DNK;2004;1.58;4.69
DNK;2009;0.72;5.41
DNK;2014;0.73;5.71
DNK;2019;2.39;6.46
EST;1994;7.23;8.84
EST;1999;4.57;6.88
EST;2004;3.50;5.42
EST;2009;3.43;5.02
EST;2014;5.09;4.78
EST;2019;5.28;5.16
FIN;1989;4.98;6.13
FIN;1994;3.24;6.03
FIN;1999;3.24;5.93
FIN;2004;3.16;5.65
FIN;2009;3.20;5.88
FIN;2014;2.95;6.47
FIN;2019;3.55;7.46
FRA;1989;11.84;4.40
FRA;1994;25.25;6.89
FRA;1999;17.69;6.56
FRA;2004;21.95;5.22
FRA;2009;13.58;4.32
FRA;2014;17.66;5.27
FRA;2019;21.12;6.82
DEU;1989;0.76;3.56
DEU;1994;2.22;3.75
DEU;1999;3.15;3.78
DEU;2004;4.61;4.09
DEU;2009;3.40;5.58
DEU;2014;7.83;4.81
DEU;2019;1.95;6.18
GRC;1989;3.94;2.56
GRC;1994;7.57;2.63
GRC;1999;9.45;3.07
GRC;2004;7.37;2.66
GRC;2009;7.29;3.16
GRC;2014;9.96;5.20
GRC;2019;9.66;3.68
HUN;1994;16.18;5.74
HUN;1999;10.88;5.18
HUN;2004;8.20;2.94
HUN;2009;5.13;2.80
HUN;2014;17.80;3.22
HUN;2019;14.38;3.31
IRL;1989;3.85;3.38
IRL;1994;3.10;3.94
IRL;1999;6.55;4.03
IRL;2004;6.62;4.13
IRL;2009;5.85;3.77
IRL;2014;8.69;4.77
IRL;2019;5.62;6.57
ITA;1989;2.52;4.62
ITA;1994;7.81;7.58*
ITA;1999;6.91;7.17*
ITA;2004;10.22;6.32*
ITA;2009;5.73;3.82
ITA;2014;17.34;5.33
ITA;2019;5.70;3.42
LVA;1994;4.14;6.21
LVA;1999;4.66;6.94
LVA;2004;7.28;6.78
LVA;2009;4.77;7.49
LVA;2014;2.30;5.60
LVA;2019;5.51;8.07
LTU;1994;9.61;4.62
LTU;1999;15.17;7.52
LTU;2004;5.03*;5.78*
LTU;2009;11.14*;8.90*
LTU;2014;9.08*;7.59*
LTU;2019;13.49;7.27
LUX;1989;5.03;4.65
LUX;1994;4.67;4.71
LUX;1999;3.22;4.71
LUX;2004;3.36;4.26
LUX;2009;4.22;4.25
LUX;2014;5.20;4.85
LUX;2019;5.57;5.58
MLT;1989;0.34;2.01
MLT;1994;1.52;2.06
MLT;1999;1.77;2.04
MLT;2004;1.81;2.02
MLT;2009;1.44;2.08
MLT;2014;1.75;2.05
MLT;2019;1.01;2.03
NLD;1989;0.90;3.90
NLD;1994;1.08;5.72
NLD;1999;1.28;5.15
NLD;2004;1.05;4.99
NLD;2009;1.03;5.80
NLD;2014;0.99;5.94
NLD;2019;0.96;8.56
NOR;1989;3.67;4.84
NOR;1994;3.95;4.73
NOR;1999;3.44;4.94
NOR;2004;3.31;6.18
NOR;2009;3.01;4.55
NOR;2014;2.56;4.87
NOR;2019;3.01;5.55
POL;1994;17.81;9.81
POL;1999;10.63;4.59
POL;2004;6.33;4.50
POL;2009;4.67;3.32
POL;2014;5.95;3.74
POL;2019;6.60;3.41
PRT;1989;6.12;2.98
PRT;1994;6.09;2.79
PRT;1999;4.90;3.13
PRT;2004;4.64;3.03
PRT;2009;5.63;3.83
PRT;2014;5.68;3.66
PRT;2019;7.77;4.01
ROU;1994;6.81;6.96
ROU;1999;6.34;6.09
ROU;2004;3.74;3.90
ROU;2009;3.32;3.93
ROU;2014;6.20;2.54
ROU;2019;2.69;3.76
SVK;1994;5.94;5.81
SVK;1999;2.90;5.33
SVK;2004;6.97;8.87
SVK;2009;5.53;6.11
SVK;2014;9.77;4.36
SVK;2019;6.10;7.31
SVN;1994;5.33;8.37
SVN;1999;3.59;6.32
SVN;2004;4.79;6.02
SVN;2009;3.89;4.94
SVN;2014;6.57;5.33
SVN;2019;4.56;8.36
ESP;1989;9.35;4.13
ESP;1994;7.08;3.52
ESP;1999;5.36;3.21
ESP;2004;4.25;3.00
ESP;2009;4.49;2.79
ESP;2014;6.93;3.34
ESP;2019;5.52;6.11
SWE;1989;2.45;3.92
SWE;1994;1.18;3.65
SWE;1999;0.97;4.55
SWE;2004;1.52;4.51
SWE;2009;3.02;4.66
SWE;2014;2.64;5.41
SWE;2019;0.63;5.79
GBR;1989;14.95;3.33
GBR;1994;13.55;3.06
GBR;1999;16.51;3.22
GBR;2004;17.76;3.33
GBR;2009;16.73;3.59
GBR;2014;15.13;3.72
GBR;2019;11.80;3.23
